"","SoortMisdrijf","SoortMisdrijf_label","WijkenEnBuurten","WijkenEnBuurten_label","Perioden","Perioden_Date","Perioden_freq","Perioden_label","GeregistreerdeMisdrijven_1","Gemeentenaam_2","SoortRegio_3"
"1836","0.0.0 ","Totaal misdrijven","BU04893162","Achterzeedijk Oost","2023JJ00",2023-01-01,"Y","2023",15,"Barendrecht                   ","Buurt   "
"1837","0.0.0 ","Totaal misdrijven","BU04893163","Noldijk","2023JJ00",2023-01-01,"Y","2023",11,"Barendrecht                   ","Buurt   "
"1838","0.0.0 ","Totaal misdrijven","BU04893164","Kilweg","2023JJ00",2023-01-01,"Y","2023",56,"Barendrecht                   ","Buurt   "
"1839","0.0.0 ","Totaal misdrijven","BU04895070","BT Reijerswaard","2023JJ00",2023-01-01,"Y","2023",40,"Barendrecht                   ","Buurt   "
"1840","0.0.0 ","Totaal misdrijven","BU04895071","BT Cornelisland","2023JJ00",2023-01-01,"Y","2023",13,"Barendrecht                   ","Buurt   "
"1841","0.0.0 ","Totaal misdrijven","BU04895072","BT Dierenstein","2023JJ00",2023-01-01,"Y","2023",57,"Barendrecht                   ","Buurt   "
"1842","0.0.0 ","Totaal misdrijven","BU04895073","BT Veiling","2023JJ00",2023-01-01,"Y","2023",4,"Barendrecht                   ","Buurt   "
"1843","0.0.0 ","Totaal misdrijven","BU04895074","BT Handelscentrum","2023JJ00",2023-01-01,"Y","2023",12,"Barendrecht                   ","Buurt   "
"1844","0.0.0 ","Totaal misdrijven","BU04895075","BT Gebroken Meeldijk","2023JJ00",2023-01-01,"Y","2023",9,"Barendrecht                   ","Buurt   "
"1845","0.0.0 ","Totaal misdrijven","BU04895076","BT Ziedewij","2023JJ00",2023-01-01,"Y","2023",9,"Barendrecht                   ","Buurt   "
"1846","0.0.0 ","Totaal misdrijven","BU04895077","BT Bijdorp","2023JJ00",2023-01-01,"Y","2023",15,"Barendrecht                   ","Buurt   "
"1847","0.0.0 ","Totaal misdrijven","BU04895078","BT Kilweg Noord","2023JJ00",2023-01-01,"Y","2023",40,"Barendrecht                   ","Buurt   "
"1848","0.0.0 ","Totaal misdrijven","BU04895080","BT Achterzeedijk","2023JJ00",2023-01-01,"Y","2023",1,"Barendrecht                   ","Buurt   "
"1849","0.0.0 ","Totaal misdrijven","BU04895081","BT Vaanpark 1","2023JJ00",2023-01-01,"Y","2023",11,"Barendrecht                   ","Buurt   "
"1850","0.0.0 ","Totaal misdrijven","BU04895082","BT Vaanpark 2","2023JJ00",2023-01-01,"Y","2023",47,"Barendrecht                   ","Buurt   "
"1851","0.0.0 ","Totaal misdrijven","BU04895083","BT Vaanpark 3","2023JJ00",2023-01-01,"Y","2023",8,"Barendrecht                   ","Buurt   "
"1852","0.0.0 ","Totaal misdrijven","BU04895084","BT Vaanpark 4","2023JJ00",2023-01-01,"Y","2023",13,"Barendrecht                   ","Buurt   "
"1853","0.0.0 ","Totaal misdrijven","BU02035400","Buitengebied Barneveld","2023JJ00",2023-01-01,"Y","2023",219,"Barneveld                     ","Buurt   "
"1854","0.0.0 ","Totaal misdrijven","BU02035401","Centrum Barneveld","2023JJ00",2023-01-01,"Y","2023",270,"Barneveld                     ","Buurt   "
"1855","0.0.0 ","Totaal misdrijven","BU02035402","De Koot","2023JJ00",2023-01-01,"Y","2023",19,"Barneveld                     ","Buurt   "
"1856","0.0.0 ","Totaal misdrijven","BU02035403","Vogelbuurt","2023JJ00",2023-01-01,"Y","2023",39,"Barneveld                     ","Buurt   "
"1857","0.0.0 ","Totaal misdrijven","BU02035404","De Lors","2023JJ00",2023-01-01,"Y","2023",31,"Barneveld                     ","Buurt   "
"1858","0.0.0 ","Totaal misdrijven","BU02035405","Staatsliedenwijk","2023JJ00",2023-01-01,"Y","2023",25,"Barneveld                     ","Buurt   "
"1859","0.0.0 ","Totaal misdrijven","BU02035406","De Valk","2023JJ00",2023-01-01,"Y","2023",46,"Barneveld                     ","Buurt   "
"1860","0.0.0 ","Totaal misdrijven","BU02035407","Vliegersveld","2023JJ00",2023-01-01,"Y","2023",11,"Barneveld                     ","Buurt   "
"1861","0.0.0 ","Totaal misdrijven","BU02035408","Rootselaar-West","2023JJ00",2023-01-01,"Y","2023",66,"Barneveld                     ","Buurt   "
"1862","0.0.0 ","Totaal misdrijven","BU02035409","Rootselaar-Oost","2023JJ00",2023-01-01,"Y","2023",13,"Barneveld                     ","Buurt   "
"1863","0.0.0 ","Totaal misdrijven","BU02035410","Oldenbarneveld","2023JJ00",2023-01-01,"Y","2023",53,"Barneveld                     ","Buurt   "
"1864","0.0.0 ","Totaal misdrijven","BU02035411","De Vaarst","2023JJ00",2023-01-01,"Y","2023",42,"Barneveld                     ","Buurt   "
"1865","0.0.0 ","Totaal misdrijven","BU02035412","Norschoten","2023JJ00",2023-01-01,"Y","2023",51,"Barneveld                     ","Buurt   "
"1866","0.0.0 ","Totaal misdrijven","BU02035413","De Briellared","2023JJ00",2023-01-01,"Y","2023",20,"Barneveld                     ","Buurt   "
"1867","0.0.0 ","Totaal misdrijven","BU02035414","De Burgt","2023JJ00",2023-01-01,"Y","2023",64,"Barneveld                     ","Buurt   "
"1868","0.0.0 ","Totaal misdrijven","BU02035415","Veller","2023JJ00",2023-01-01,"Y","2023",53,"Barneveld                     ","Buurt   "
"1869","0.0.0 ","Totaal misdrijven","BU02035425","Harselaar-West","2023JJ00",2023-01-01,"Y","2023",16,"Barneveld                     ","Buurt   "
"1870","0.0.0 ","Totaal misdrijven","BU02035426","Harselaar-Oost","2023JJ00",2023-01-01,"Y","2023",26,"Barneveld                     ","Buurt   "
"1871","0.0.0 ","Totaal misdrijven","BU02035530","Buitengebied Voorthuizen","2023JJ00",2023-01-01,"Y","2023",156,"Barneveld                     ","Buurt   "
"1872","0.0.0 ","Totaal misdrijven","BU02035531","Centrum Voorthuizen","2023JJ00",2023-01-01,"Y","2023",63,"Barneveld                     ","Buurt   "
"1873","0.0.0 ","Totaal misdrijven","BU02035532","Haarkamp","2023JJ00",2023-01-01,"Y","2023",9,"Barneveld                     ","Buurt   "
"1874","0.0.0 ","Totaal misdrijven","BU02035533","Roeleneng","2023JJ00",2023-01-01,"Y","2023",10,"Barneveld                     ","Buurt   "
"1875","0.0.0 ","Totaal misdrijven","BU02035534","Prinsessenwijk","2023JJ00",2023-01-01,"Y","2023",3,"Barneveld                     ","Buurt   "
"1876","0.0.0 ","Totaal misdrijven","BU02035535","De Wheem","2023JJ00",2023-01-01,"Y","2023",24,"Barneveld                     ","Buurt   "
"1877","0.0.0 ","Totaal misdrijven","BU02035536","De Steenkamp","2023JJ00",2023-01-01,"Y","2023",4,"Barneveld                     ","Buurt   "
"1878","0.0.0 ","Totaal misdrijven","BU02035537","Zeeheldenwijk","2023JJ00",2023-01-01,"Y","2023",25,"Barneveld                     ","Buurt   "
"1879","0.0.0 ","Totaal misdrijven","BU02035538","Componistenwijk","2023JJ00",2023-01-01,"Y","2023",8,"Barneveld                     ","Buurt   "
"1880","0.0.0 ","Totaal misdrijven","BU02035539","De Maat","2023JJ00",2023-01-01,"Y","2023",13,"Barneveld                     ","Buurt   "
"1881","0.0.0 ","Totaal misdrijven","BU02035540","De Kromme Akker","2023JJ00",2023-01-01,"Y","2023",10,"Barneveld                     ","Buurt   "
"1882","0.0.0 ","Totaal misdrijven","BU02035541","Blankensgoed","2023JJ00",2023-01-01,"Y","2023",4,"Barneveld                     ","Buurt   "
"1883","0.0.0 ","Totaal misdrijven","BU02035650","Buitengebied Kootwijkerbroek","2023JJ00",2023-01-01,"Y","2023",48,"Barneveld                     ","Buurt   "
"1884","0.0.0 ","Totaal misdrijven","BU02035651","Kootwijkerbroek","2023JJ00",2023-01-01,"Y","2023",29,"Barneveld                     ","Buurt   "
"1885","0.0.0 ","Totaal misdrijven","BU02035652","Kootwijkerbroek-west","2023JJ00",2023-01-01,"Y","2023",9,"Barneveld                     ","Buurt   "
